Ano/mês processamento;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
2018;208004147.9;62761709.4;289989597.7;58075956.96;524247379;43275110.75;105255819.7;609787401.2;296586822.4;668076242.6;319565414.3;313498664.9;913766350.1;314023865.1;141691355.6;1231662458;1904544161;418785113.2;1674492869;5498156690;1189735183;749054193.3;1257976071;241115273;304756368.5;669754648;255021181.5;20263660046
..Janeiro/2018;16111111.62;5421710.75;21590954.49;4688021.13;40860876.4;3405812.48;7969464.41;54410207.79;23501152.32;54893314.37;25370484.14;24313556.15;70697625.48;22745357.54;11514678.44;95439046.9;153743860.3;33443500.69;123718599.3;424882372.5;92097896.55;54636592.35;103289846.3;17672827.15;21331482.47;56835595.84;21235951.47;1585821899
..Fevereiro/2018;16591183.62;4263264.99;21564424.04;4461719.58;39701877.42;3914340.39;8042409.87;45042985.88;22288369.19;49966043.53;22179536.61;22840308.65;66977742.14;21303189.62;10171050.52;89673576.97;141435322.2;30964247.72;120451059.9;424152316.4;90654843.43;54201415.15;94890461.48;17961542.38;21562103.23;52577725.57;17045206.66;1514878267
..Março/2018;17526105.89;5648777.08;23687967.98;5034588.02;43813215.16;3229065.76;8908193.9;47466845.52;23929004.61;56230531.79;26941938.23;25073314.62;74384024.33;24429777.03;11247181.18;102646020.9;157192556.4;33451639.71;134338093.4;469474991.5;98435061.81;60229737.75;104128720.1;19722574.52;25597006.21;57875009.62;21752171.94;1682394115
..Abril/2018;17633624.04;5875951.73;24494660.87;5080672.38;43000558.24;3563953.71;8267570.05;49379040.08;24433761.85;55796466.48;26734714.89;25187498.27;75918404.3;26055398.54;11968500.26;101461372.4;159823007.8;34257351.21;143150916.6;471431218.5;99586957.33;61802893.87;106066455.3;19172562.88;24172837.56;57972367.09;22844274.83;1705132991
..Maio/2018;17772807.73;4622925.54;24844202.59;4957730.65;43800725.82;2846474.84;9292167.4;52620047.68;25626190.72;56216508.57;27147955.76;26070735.74;78291448.42;26812680.13;12095149.19;102508159.4;157148118.5;34978510.75;146809225;467109694.9;100012102.2;62182090.61;107936555.9;19688714.15;22079137.86;56203068.39;20733972.51;1710407101
..Junho/2018;17331351.56;5796054.96;24608332.85;4741574.98;42092131.03;3933037.33;8507812.3;51035823.82;24634502.28;56473604.76;26946930.44;25609124.16;77922690.8;25975727.96;11222737.16;98833615.38;158393168.2;34089440.84;139727108.7;459154337.2;98792720.29;64371273.25;102760211.2;21497141.95;35668134.85;55667627.78;21136936.27;1696923152
..Julho/2018;16756155.98;5016206.97;25122641.65;5234880.46;45086819.2;3993522.19;8339469.1;52180470.5;24947801.69;55630166.42;27836310.2;27128241.67;77824972.16;27811222.87;12502057.7;105656568.4;161492009.6;36081712.6;146387823.8;444177461.9;102911810.4;69765550.03;106695199.2;23300606.21;25970215.32;55138310.88;20580041.41;1713568249
..Agosto/2018;17827144.07;5321488.09;26294226.84;5430287.31;44925732.91;3615369.17;9543102.73;52237486.3;25011248.93;59630065.62;28108847.02;27744943.46;82784733.34;28110625.91;12934269.83;108684730.7;166931346.6;38524668.51;150374058;479824648.3;102910992.9;66958299.32;106128957.2;20400917.49;30661296.26;56076207.75;24218429.39;1781214124
..Setembro/2018;17706699.02;7025527.6;24923054.96;5015109.93;45898601.55;3672143.92;8794605.08;50984687.28;24916515.62;55902165.3;25528712.92;25594350.86;76588232.16;27805385.29;11655874.79;101526176.2;157151961.5;35323310.74;146590845.4;465498144.6;102128210.6;62413306.57;104913787.2;19077413.94;24958568.55;55715637.59;21378557.9;1708687587
