Ano/mês processamento;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste;Total
2018;1291609721;4808658574;9495978832;3196765448;1470647471;20263660046
..Janeiro/2018;100047951.3;382885423.1;735788332.8;250024335.2;117075856.9;1585821899
..Fevereiro/2018;98539219.91;350442803.1;717002946.2;239746720.1;109146577.8;1514878267
..Março/2018;107847913.8;392348638.2;794457281;262793519.6;124946762.3;1682394115
..Abril/2018;107916991;396935157.1;808662494.1;267456306.5;124162042.4;1705132991
..Maio/2018;108137034.6;407388875.6;806045549.1;270130748.8;118704892.9;1710407101
..Junho/2018;107010295;398654756.8;791364055;265924204.7;133969840.9;1696923152
..Julho/2018;109549695.6;411517811.6;788139007.9;279372559.7;124989173.8;1713568249
..Agosto/2018;112957351.1;425246951.1;835654721.5;275998249.4;131356850.9;1781214124
..Setembro/2018;113035742.1;400502100.4;804564262.3;269455304.4;121130178;1708687587
..Outubro/2018;114232495.4;425437243.7;833722176.2;284768527.3;124913943.2;1783074386
..Novembro/2018;108470028.5;421418732.3;800650168.6;271976575.4;123618143.2;1726133648
..Dezembro/2018;103865003.2;395880080.8;779927837.6;259118396.9;116633208.7;1655424527
2019;1399553569;5178861894;9903817638;3387575277;1535961436;21405769814
..Janeiro/2019;109704912.8;402734344;776837546;262597518.5;119828899.2;1671703220
..Fevereiro/2019;112406705.1;392850686.5;780386014.1;259514165.8;120104828.8;1665262400
..Março/2019;110645203.4;400369089.4;790715214.6;271489379.6;125441568.4;1698660455
..Abril/2019;115758585.7;434280557.8;842120058.8;286419177.8;133233510.5;1811811891
..Maio/2019;119346542.9;450408663;871022756;295058254.3;134720465.8;1870556682
..Junho/2019;113364398.3;414584290.7;823448771;278733820.8;129298231.9;1759429513
..Julho/2019;116863529.3;443859133.6;836907040.9;298138494.5;129152249.3;1824920447
..Agosto/2019;123089710.2;460839394;848212491.6;291396104;130145761.1;1853683461
..Setembro/2019;119574091.3;449229773;841741895;286550610;129577798.6;1826674168
..Outubro/2019;121860312.9;457181416.7;871719653.6;296007097;134195884.7;1880964365
..Novembro/2019;120097803.3;448604720.8;821264745.9;288529696.4;129317980.5;1807814947
..Dezembro/2019;116841773.4;423919824.5;799441450.4;273140958.9;120944257.3;1734288265
2020;1194440594;4361230727;8293408770;2895789493;1307020278;18051889861
..Janeiro/2020;117508366.2;434745069.4;813341247.4;273550322.5;125993558;1765138563
..Fevereiro/2020;113265121.3;411530228.3;790837608.1;275722010.1;128308650.9;1719663619
..Março/2020;103444698.4;378720209.1;746031910;257685173.3;118320198.9;1604202190
..Abril/2020;79162025.43;280422388.8;535415861.8;187816450;89118275.23;1171935001
..Maio/2020;75240145.34;272890775.8;546321830;204538906.2;94935968.29;1193927626
..Junho/2020;84895061.76;290619691.1;595027015.1;219803706;97073882.74;1287419357
..Julho/2020;93112597.71;327851274.5;652920713.7;227354049.3;101285459.7;1402524095
..Agosto/2020;98796861.16;353167234.3;670768079.2;227506457.6;104309480.7;1454548113
..Setembro/2020;100410809.4;371827088.7;705094866.6;240335129.7;108766077.6;1526433972
..Outubro/2020;107848887.9;406743652.7;742493677.4;262273784.6;112646367.5;1632006370
..Novembro/2020;117547027.4;419407201.4;752737088.4;264773418.1;115370996.6;1669835732
..Dezembro/2020;103208991.7;413305913.2;742418871.8;254430085.2;110891361.9;1624255224
2021;1427541204;5293211036;9455396781;3272850246;1500676862;20949676128
