Ano/mês processamento;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste;Total
2018;222758645;739612175;1868554591;569878835;257234124;3658038370
..Janeiro/2018;18636977;60453248;151052368;43132112;21980814;295255519
..Fevereiro/2018;17445365;55975151;142509464;42766714;20498716;279195410
..Março/2018;19390965;60884580;158750277;47513546;22295602;308834970
..Abril/2018;18642477;65009572;167217343;48194968;22966984;322031344
..Maio/2018;20244217;64635742;162463283;47980006;22970407;318293655
..Junho/2018;18783251;60739359;157133121;47125196;20097012;303877939
..Julho/2018;17416927;63192689;150720824;48566429;19819118;299715987
..Agosto/2018;18443228;64337565;163078052;49198420;21921484;316978749
..Setembro/2018;18820935;61927634;153967874;50499768;21316919;306533130
..Outubro/2018;19458493;63516403;163518027;51009938;21964666;319467527
..Novembro/2018;18175081;62082681;150667526;48758363;21354398;301038049
..Dezembro/2018;17300729;56857551;147476432;45133375;20048004;286816091
2019;224037175;770710478;1896411659;598047348;271892100;3761098760
..Janeiro/2019;17643151;60366113;146201450;44341705;22033139;290585558
..Fevereiro/2019;17744098;61691675;155728909;47118551;22204981;304488214
..Março/2019;17988587;61965489;150694124;48176348;22602583;301427131
..Abril/2019;18021860;63536390;161752710;49658450;23026578;315995988
..Maio/2019;20365863;63883357;161645871;51450885;23355785;320701761
..Junho/2019;20486666;63717449;153440596;48579293;22168092;308392096
..Julho/2019;18232833;65127293;156475594;51685641;21453858;312975219
..Agosto/2019;19012080;69135542;166664213;54710076;22662172;332184083
..Setembro/2019;18745994;69445316;161164215;51372808;24210390;324938723
..Outubro/2019;19584277;66507494;172479313;53344309;24615477;336530870
..Novembro/2019;18408503;64493293;160251484;50646592;22633740;316433612
..Dezembro/2019;17803263;60841067;149913180;46962690;20925305;296445505
2020;175254303;631062882;1604446019;513256071;230256934;3154276209
..Janeiro/2020;18399173;65565685;158497310;50590096;22932411;315984675
..Fevereiro/2020;18147882;60769498;153902236;47396793;22029688;302246097
..Março/2020;14536010;57856379;145013115;44930677;21811313;284147494
..Abril/2020;12514676;43554168;108894004;34678604;16334752;215976204
..Maio/2020;10304136;42582944;110970366;34041580;16892998;214792024
..Junho/2020;13911829;42736053;121161666;41489976;16983971;236283495
..Julho/2020;12805951;47674084;129930865;40815825;18141254;249367979
..Agosto/2020;14380305;50218427;133117360;41736815;17904663;257357570
..Setembro/2020;15099604;52141127;134884643;42102882;18705574;262933830
..Outubro/2020;14264594;55372603;135529147;46937926;19363283;271467553
..Novembro/2020;16416061;57484780;138286388;42180251;19786680;274154160
..Dezembro/2020;14474082;55107134;134258919;46354646;19370347;269565128
2021;197813788;724647411;1739919816;574508188;255674798;3492564001
  Janeiro/2021;15104790;53944221;131749232;44491256;20544548;265834047
  Fevereiro/2021;14110538;55308289;134540681;43288530;20169021;267417059
  Março/2021;15199185;55143806;141307104;48695684;20402127;280747906
  Abril/2021;14972190;55405584;136347100;41954120;19961989;268640983
  Maio/2021;16388141;57957897;145771248;47729879;21680677;289527842
  Junho/2021;16294779;58765226;142937682;47288565;20052401;285338653
  Julho/2021;17376910;62938931;142713290;48122583;22100307;293252021
  Agosto/2021;17942527;63010408;151733805;50450532;21374059;304511331
  Setembro/2021;16800887;64375282;150686780;50679184;22147120;304689253
  Outubro/2021;17586373;64438121;149684664;52068174;21772785;305550117
  Novembro/2021;18153848;66343580;157896679;51212820;22511063;316117990
  Dezembro/2021;17883620;67016066;154551551;48526861;22958701;310936799
2022;240013241;800816781;2000519822;661309779;298552597;4001212220
..Janeiro/2022;16903744;63554504;154231007;49248606;23545834;307483695
..Fevereiro/2022;18664511;61565929;146901257;71818934;22025002;320975633
..Março/2022;21036881;65645951;166693627;53283503;25004791;331664753
..Abril/2022;18564955;64987144;157552566;52772994;24452222;318329881
..Maio/2022;21665417;69346684;172518223;54132003;26061724;343724051
..Junho/2022;20980124;66361044;168697523;49082592;26071089;331192372
..Julho/2022;20048241;67290378;168041751;49279251;24680432;329340053
..Agosto/2022;20820431;70872577;176958752;51824202;25805877;346281839
..Setembro/2022;20548339;69354221;178329954;61205405;25005110;354443029
..Outubro/2022;20547498;68735049;172297352;57781584;25586952;344948435
..Novembro/2022;19714853;69591389;169620593;56908444;26010407;341845686
..Dezembro/2022;20518247;63511911;168677217;53972261;24303157;330982793
2023;102302328;324171764;899239976;292002051;128383766;1746099885
Janeiro/2023;20472906;64443573;174056779;55946676;24961128;339881062
Fevereiro/2023;19670632;61622053;166003767;53901563;24368124;325566139
Março/2023;22740301;71624248;191876426;62045362;27645303;375931640
Abril/2023;20737697;67331269;179818818;56133040;25248785;349269609
Maio/2023;18680792;59150621;187484186;63975410;26160426;355451435
Total;1162179480;3991021491;10009091883;3209002272;1441994319;19813289445
