Ano/mês processamento;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
2018;31576605;10584914;48107556;7865085;97941106;6086938;20596441;115706686;34059892;128657439;47952164;40700228;135152207;38931248;26832834;171619477;347097838;87501864;283376224;1150578665;243514098;152133689;174231048;47882698;58431920;114086321;36833185;3658038370
..Janeiro/2018;2431005;908146;3737825;1140162;8387324;430989;1601526;10673151;2723278;9541216;4262290;3614819;10310401;2891060;2282136;14154897;28297698;6503648;24549021;91702001;18176431;10957113;13998568;3653011;4458362;10486874;3382567;295255519
..Fevereiro/2018;2937594;685443;3463860;614586;7423224;746681;1573977;8954794;2744700;9300165;3566539;2996681;10113395;2956696;1981331;13360850;26252604;6609013;21154563;88493284;18061558;11564937;13140219;3568020;4306716;9755992;2867988;279195410
..Março/2018;2821318;975419;4039346;709179;8481901;532483;1831319;9458386;2837063;9932830;3886734;3339765;11068760;3080565;2271803;15008674;30876172;6903007;23662134;97308964;20344356;12643323;14525867;4012786;4827876;10055472;3399468;308834970
..Abril/2018;2912393;941844;4148916;615082;7781793;433762;1808687;9221614;2821481;12900436;3271266;3489801;11195928;3044582;2353813;16710651;30497644;7809329;25222863;103687507;20656784;13365136;14173048;3949301;5298735;10335497;3383451;322031344
..Maio/2018;3011740;711793;4425555;622210;8863992;464041;2144886;9521644;3250440;11270161;5114162;3749193;11630165;3318453;2204436;14577088;28957556;8535180;25012049;99958498;21027183;12507089;14445734;4049286;5345872;10275401;3299848;318293655
..Junho/2018;2664567;1082948;4002188;667409;8045696;539076;1781367;9414683;2845675;10331135;3738583;3407868;11442516;3196573;2292607;14069719;28869046;7364075;23017955;97882045;20747582;12583603;13794011;3965706;5100933;9052790;1977583;303877939
..Julho/2018;2616054;770924;3876525;648417;7544650;448126;1512231;9356096;2694495;11148066;4031926;3606017;11492894;3367380;2337303;15158512;28831203;7078477;22257595;92553549;21032435;12834858;14699136;4131361;4553735;9002062;2131960;299715987
..Agosto/2018;2549552;738727;4352214;671568;7861290;454671;1815206;9883937;2770128;12019457;3952307;3938037;12270814;2925327;2371087;14206471;31123742;8419624;23590731;99943955;21484789;13210316;14503315;4249996;5118468;9097795;3455225;316978749
..Setembro/2018;2561246;1490672;3937774;596208;8179168;463805;1592062;9498557;2877678;10122193;3555573;3322730;11615373;4098907;2306999;14529624;27458355;7190894;23330720;95987905;21423805;13578438;15497525;4037330;5208796;8948545;3122248;306533130
..Outubro/2018;2651625;708872;4748857;586838;8430533;599119;1732649;9609033;3024926;11654538;4260164;3031026;12080925;3660423;2185505;14009863;30983925;7130262;27028569;98375271;20711141;13897303;16401494;4125735;4941498;9409975;3487458;319467527
..Novembro/2018;2399987;732758;3734241;510901;8815816;334771;1646607;9853059;2822083;10736001;3994334;3914690;11107228;3334937;2141100;14179249;27086438;7139814;22332503;94108771;20674957;13188339;14895067;4454629;4543448;8962649;3393672;301038049
..Dezembro/2018;2019524;837368;3640255;482525;8125719;639414;1555924;10261732;2647945;9701241;4318286;2289601;10823808;3056345;2104714;11653879;27863455;6818541;22217521;90576915;19173077;11803234;14157064;3685537;4727481;8703269;2931717;286816091
2019;33420122;12965392;48864946;6446384;96249596;5698075;20392660;124969180;38796642;120893587;54416441;47370202;141619984;42236828;26734789;173672825;350681105;88973982;275331540;1181425032;252687651;170180109;175179588;52040362;62971676;114195595;42684467;3761098760
..Janeiro/2019;2627265;909812;3833541;522936;7686889;471529;1591179;10527008;2962309;10348955;3859378;4473531;10933660;3181291;1853366;12226615;26161273;6888520;22682675;90468982;18722743;12485420;13133542;4166452;5369913;9341567;3155207;290585558
..Fevereiro/2019;2470786;893304;4316581;516196;7612530;418619;1516082;10273972;3009089;10422313;4366801;3689673;10988682;3276856;1921583;13742706;32722711;6783568;24211991;92010639;20059584;13358615;13700352;4212242;5192503;9333071;3467165;304488214
..Março/2019;2328658;1591066;3901630;418982;7582728;524356;1641167;10420597;3127321;8591358;4479363;3687402;11565291;3193518;2042353;14858286;28062191;6717959;23007419;92906555;21308976;13413950;13453422;4375436;4985069;9711471;3530607;301427131
..Abril/2019;2751094;1133146;3810185;547954;7566277;537683;1675521;9253730;2982660;9707600;5126535;3267525;11955571;3339128;2332714;15570927;29366271;7180045;24595804;100610590;21349356;14067875;14241219;4890606;5131231;9506428;3498313;315995988
