Unidade da Federação;2018;2019;2020;2021;2022;2023;Total
11 Rondônia;208004147,88;230751779,69;185033725,11;212795423,32;255823885,64;70561959,42;1162970921,06
12 Acre;62761709,40;69854401,72;52815985,00;70426465,03;87136947,34;35616925,50;378612433,99
13 Amazonas;289989597,72;318372388,05;265007208,44;306201620,41;375919788,19;139316591,76;1694807194,57
14 Roraima;58075956,96;57309869,20;42215608,89;52408626,73;66905760,93;21602851,87;298518674,58
15 Pará;524247378,99;561983475,43;508816645,01;601469434,82;730878840,97;245237860,36;3172633635,58
16 Amapá;43275110,75;46344771,90;43539615,79;75473141,55;76958761,75;26744120,46;312335522,20
17 Tocantins;105255819,68;114936882,58;97011805,37;108766491,85;134270533,50;46809688,62;607051221,60
21 Maranhão;609787401,20;697070080,95;649002041,77;895648747,97;855544365,89;238230847,26;3945283485,04
22 Piauí;296586822,38;319258455,06;240079805,90;302683681,02;369156971,52;120832558,04;1648598293,92
23 Ceará;668076242,62;705863200,82;617853119,35;695452291,42;842616448,50;287836043,11;3817697345,82
24 Rio Grande do Norte;319565414,29;341094588,60;297513107,79;345220380,58;401866684,89;127094170,53;1832354346,68
25 Paraíba;313498664,85;333618495,84;264183908,68;325103059,17;410694453,13;140368143,66;1787466725,33
26 Pernambuco;913766350,05;967291061,74;778010626,71;932566357,34;1132031653,62;383539363,96;5107205413,42
27 Alagoas;314023865,08;323533470,74;269822697,53;319633424,72;374680077,68;119827137,78;1721520673,53
28 Sergipe;141691355,56;150629906,50;131688811,00;165294963,41;201199764,50;74043053,11;864547854,08
29 Bahia;1231662457,60;1340502633,72;1113076608,54;1311608129,89;1577632626,45;538024343,37;7112506799,57
31 Minas Gerais;1904544160,55;2006150201,63;1759066566,45;2000349318,16;2307449367,05;811337827,99;10788897441,83
32 Espírito Santo;418785113,20;429301341,23;347065041,38;421652827,48;513031848,55;172548072,78;2302384244,62
33 Rio de Janeiro;1674492868,83;1762717579,42;1449462474,85;1713595262,05;2110309063,93;747274340,16;9457851589,24
35 São Paulo;5498156689,52;5705648515,50;4737814686,99;5319799372,81;6157885169,08;2168581198,42;29587885632,32
41 Paraná;1189735183,29;1253408166,58;1060776593,76;1185739990,31;1437987406,60;511618574,50;6639265915,04
42 Santa Catarina;749054193,25;835335924,67;695152279,73;837805622,80;987514687,73;356285157,28;4461147865,46
43 Rio Grande do Sul;1257976071,35;1298831186,07;1139860619,10;1249304633,01;1425984366,71;498355778,83;6870312655,07
50 Mato Grosso do Sul;241115273,01;254344694,55;210198900,57;234009684,03;284688122,04;98742228,04;1323098902,24
51 Mato Grosso;304756368,48;312841199,74;253393654,97;296244012,68;365742193,22;107388174,30;1640365603,39
52 Goiás;669754648,04;692864343,81;591607780,63;697340903,38;892889988,66;302619394,47;3847077058,99
53 Distrito Federal;255021181,47;275911197,94;251819941,89;273082262,10;320083431,11;117612760,21;1493530774,72
Total;20263660046,00;21405769813,68;18051889861,20;20949676128,04;24696883209,18;8508049165,79;113875928223,89
