"""Unidade da Federação"";""01 Ações de promoção e prevenção em saúde"";""02 Procedimentos com finalidade diagnóstica"";""03 Procedimentos clínicos"";""04 Procedimentos cirúrgicos"";""05 Transplantes de orgãos, tecidos e células"";""06 Medicamentos"";""07 Órteses, próteses e materiais especiais"";""08 Ações complementares da atenção à saúde"";""Total"""
"""11 Rondônia"";375049,74;335702162,58;631441796,19;30719031,00;15193504,31;7436984,14;52346187,05;89756206,05;1162970921,06"
"""12 Acre"";496130,68;151349552,08;172851063,67;9666384,72;1457970,38;1807806,63;12571397,03;28412128,80;378612433,99"
"""13 Amazonas"";3732694,84;664288750,70;758567647,03;90117476,52;3404096,20;17295947,52;31161919,56;126238662,20;1694807194,57"
"""14 Roraima"";101476,80;102579630,00;109380268,57;11139020,86;85965,00;1087317,61;4084358,94;70060636,80;298518674,58"
"""15 Pará"";3288236,40;1052814627,98;1592506373,01;229541008,18;13760418,62;22606268,94;60032204,35;198084498,10;3172633635,58"
"""16 Amapá"";136019,58;93855345,00;128174170,32;49150564,79;140167,50;2831818,26;5124561,05;32922875,70;312335522,20"
"""17 Tocantins"";235605,58;222100821,58;297310297,74;20538487,95;735356,84;7636831,81;18168742,90;40325077,20;607051221,60"
"""21 Maranhão"";12342803,48;1003458775,12;2361589401,89;187094934,93;11974059,38;38018093,58;55557744,01;275247672,65;3945283485,04"
"""22 Piauí"";311359,08;452779484,65;887743082,87;99581162,50;17873370,79;13153520,83;94273917,65;82882395,55;1648598293,92"
"""23 Ceará"";1163530,40;992853108,18;2431339056,91;149713304,97;57408804,07;84696201,63;71614842,26;28908497,40;3817697345,82"
"""24 Rio Grande do Norte"";544691,40;541979632,44;1081001781,43;104560161,59;14790343,33;18801882,55;58373483,79;12302370,15;1832354346,68"
"""25 Paraíba"";2070866,02;449163964,50;1067905740,10;106018079,52;7119369,42;47542605,75;64332791,77;43313308,25;1787466725,33"
"""26 Pernambuco"";1972098,90;1624105993,55;2853425389,81;212911578,23;130094745,35;61667943,50;136038979,18;86988684,90;5107205413,42"
"""27 Alagoas"";1279296,92;484264194,32;1007432844,76;68793139,75;15068849,91;16201443,30;81966385,22;46514519,35;1721520673,53"
"""28 Sergipe"";496521,00;283625027,37;454970922,52;29855108,05;2010155,50;22402773,36;26885859,73;44301486,55;864547854,08"
"""29 Bahia"";2863748,32;2322014295,05;3811833879,51;385645612,53;77088327,19;65760788,77;218836408,99;228463739,21;7112506799,57"
"""31 Minas Gerais"";8200688,35;3205593839,36;6269561672,00;373726144,06;163130513,86;182642124,45;507997571,65;78044888,10;10788897441,83"
"""32 Espírito Santo"";335188,20;814054191,50;1126764589,40;123948186,86;33624366,67;78260408,48;65156655,61;60240657,90;2302384244,62"
"""33 Rio de Janeiro"";91265124,16;3572068478,57;4855726400,68;457315534,40;98236796,11;62921067,93;264562037,89;55756149,50;9457851589,24"
"""35 São Paulo"";9576702,69;11861421826,58;13829512451,96;998568548,42;714723510,70;1160275827,58;902972264,84;110834499,55;29587885632,32"
"""41 Paraná"";1174341,60;2219806826,49;3401439111,59;271113848,41;130124641,61;282711683,91;312641552,13;20253909,30;6639265915,04"
"""42 Santa Catarina"";1186537,24;1660182843,46;2088471281,11;252178396,40;66064669,31;132180757,69;169622040,85;91261339,40;4461147865,46"
"""43 Rio Grande do Sul"";1351839,08;2387939933,87;3632786208,88;331132701,46;93820304,93;141099050,05;253055799,50;29126817,30;6870312655,07"
"""50 Mato Grosso do Sul"";271588,92;433908771,16;687526113,60;42088169,28;17895678,93;37886828,61;76543103,94;26978647,80;1323098902,24"
"""51 Mato Grosso"";736296,03;569503125,79;840106890,31;49456744,01;9175750,26;39585502,80;30240523,74;101560770,45;1640365603,39"
"""52 Goiás"";9677856,69;1273572778,93;1991891490,24;171676612,56;135304475,08;113355474,95;123864567,29;27733803,25;3847077058,99"
"""53 Distrito Federal"";1508677,16;604104181,74;672818287,72;27817731,73;30921080,66;44071993,40;108133071,26;4155751,05;1493530774,72"
"""Total"";156694969,26;39379092162,55;59044078213,82;4884067673,68;1861227291,91;2703938948,03;3806158972,18;2040669992,46;113875928223,90"
